Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,300000,1993,04,-11.6,Y
IDCJAC0002,300000,1993,05,-18.0,Y
IDCJAC0002,300000,1993,06,-15.1,Y
IDCJAC0002,300000,1993,07,-19.7,Y
IDCJAC0002,300000,1993,08,-19.3,Y
IDCJAC0002,300000,1993,09,-17.4,Y
IDCJAC0002,300000,1993,10,-9.5,Y
IDCJAC0002,300000,1993,11,-3.8,Y
IDCJAC0002,300000,1993,12,0.8,Y
IDCJAC0002,300000,1994,01,1.8,Y
IDCJAC0002,300000,1994,02,-0.5,Y
IDCJAC0002,300000,1994,03,-6.0,Y
IDCJAC0002,300000,1994,04,-11.7,Y
IDCJAC0002,300000,1994,05,-16.3,Y
IDCJAC0002,300000,1994,06,-7.6,Y
IDCJAC0002,300000,1994,07,-12.6,Y
IDCJAC0002,300000,1994,08,-16.5,Y
IDCJAC0002,300000,1994,09,-8.5,Y
IDCJAC0002,300000,1994,10,-7.4,Y
IDCJAC0002,300000,1994,11,-2.0,Y
IDCJAC0002,300000,1994,12,2.0,Y
IDCJAC0002,300000,1995,01,2.1,Y
IDCJAC0002,300000,1995,02,-0.7,Y
IDCJAC0002,300000,1995,03,-4.4,Y
IDCJAC0002,300000,1995,04,-10.7,Y
IDCJAC0002,300000,1995,05,-13.3,Y
IDCJAC0002,300000,1995,06,-12.7,Y
IDCJAC0002,300000,1995,07,-4.8,Y
IDCJAC0002,300000,1995,08,-14.1,Y
IDCJAC0002,300000,1995,09,-12.9,Y
IDCJAC0002,300000,1995,10,-10.2,Y
IDCJAC0002,300000,1995,11,-1.3,Y
IDCJAC0002,300000,1995,12,2.1,Y
IDCJAC0002,300000,1996,01,3.8,Y
IDCJAC0002,300000,1996,02,0.9,Y
IDCJAC0002,300000,1996,03,-5.4,Y
IDCJAC0002,300000,1996,04,-9.2,Y
IDCJAC0002,300000,1996,05,-14.5,Y
IDCJAC0002,300000,1996,06,-10.7,Y
IDCJAC0002,300000,1996,07,-14.1,Y
IDCJAC0002,300000,1996,08,-9.9,Y
